Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
80.75,0.0,135.225,44.5199,0.0,0.0,0.23199999999999932,0.0
81.75,0.0,135.458,44.5157,0.0,0.0,0.2330000000000041,0.0
82.0,0.0,135.691,44.5194,0.0,0.0,0.2330000000000041,0.0
82.25,0.0,135.923,44.5153,0.0,0.0,0.23199999999999932,0.0
82.5,0.0,136.156,44.5197,0.0,0.0,0.2330000000000041,0.0
82.75,0.0,136.389,44.5174,0.0,0.0,0.2330000000000041,0.0
82.25,0.0,136.621,44.5154,0.0,0.0,0.23199999999999932,0.0
83.0,0.0,136.854,44.5128,0.0,0.0,0.2330000000000041,0.0
82.75,0.0,137.087,44.5127,0.0,0.0,0.23299999999997567,0.0
82.75,0.0,137.319,44.5175,0.0,0.0,0.23199999999999932,0.0
83.0,0.0,137.552,44.5186,0.0,0.0,0.2330000000000041,0.0
83.5,0.0,137.785,44.52,0.0,0.0,0.2330000000000041,0.0
83.75,0.0,138.017,44.5188,0.0,0.0,0.23199999999999932,0.0
83.75,0.0,138.25,44.5161,0.0,0.0,0.2330000000000041,0.0
84.25,0.0,138.483,44.5144,0.0,0.0,0.2330000000000041,0.0
84.25,0.0,138.715,44.5121,0.0,0.0,0.23199999999999932,0.0
84.25,0.0,138.948,44.5139,0.0,0.0,0.2330000000000041,0.0
84.25,0.0,139.181,44.5153,0.0,0.0,0.2330000000000041,0.0
85.0,0.0,139.413,44.52,0.0,0.0,0.23199999999999932,0.0
84.75,0.0,139.646,44.5194,0.0,0.0,0.23299999999997567,0.0
85.25,0.0,139.879,44.5144,0.0,0.0,0.2330000000000041,0.0
85.5,0.0,140.111,44.5184,0.0,0.0,0.23199999999999932,0.0
85.0,0.0,140.344,44.5139,0.0,0.0,0.2330000000000041,0.0
85.75,0.0,140.577,44.5143,0.0,0.0,0.2330000000000041,0.0
86.25,0.0,140.809,44.5163,0.0,0.0,0.23199999999999932,0.0
86.25,0.0,141.042,44.5157,0.0,0.0,0.2330000000000041,0.0
86.25,0.0,141.275,44.5197,0.0,0.0,0.2330000000000041,0.0
86.25,0.0,141.507,44.5176,0.0,0.0,0.23199999999999932,0.0
86.5,0.0,141.74,44.5174,0.0,0.0,0.2330000000000041,0.0
87.0,0.0,141.973,44.5159,0.0,0.0,0.2330000000000041,0.0
86.5,0.0,142.205,44.5206,0.0,0.0,0.23199999999999932,0.0
87.5,0.0,142.438,44.5171,0.0,0.0,0.23299999999997567,0.0
87.25,0.0,142.671,44.5175,0.0,0.0,0.2330000000000041,0.0
87.75,0.0,142.903,44.5172,0.0,0.0,0.23199999999999932,0.0
87.25,0.0,143.136,44.5187,0.0,0.0,0.2330000000000041,0.0
87.5,0.0,143.369,44.5189,0.0,0.0,0.2330000000000041,0.0
88.25,0.0,143.601,44.5168,0.0,0.0,0.23199999999999932,0.0
88.25,0.0,143.834,44.5224,0.0,0.0,0.2330000000000041,0.0
88.75,0.0,144.067,44.5179,0.0,0.0,0.2330000000000041,0.0
88.75,0.0,144.299,44.5178,0.0,0.0,0.23199999999999932,0.0
89.0,0.0,144.532,44.5164,0.0,0.0,0.2330000000000041,0.0
89.25,0.0,144.765,44.5184,0.0,0.0,0.23299999999997567,0.0
89.5,0.0,144.997,44.5136,0.0,0.0,0.23200000000002774,0.0
89.5,0.0,145.23,44.5188,0.0,0.0,0.23299999999997567,0.0
89.75,0.0,145.463,44.5141,0.0,0.0,0.2330000000000041,0.0
90.0,0.0,145.695,44.5167,0.0,0.0,0.23199999999999932,0.0
90.0,0.0,145.928,44.5211,0.0,0.0,0.2330000000000041,0.0
90.0,0.0,146.161,44.515,0.0,0.0,0.2330000000000041,0.0
90.25,0.0,146.393,44.5175,0.0,0.0,0.23199999999999932,0.0
90.25,0.0,146.626,44.5171,0.0,0.0,0.2330000000000041,0.0
90.5,0.0,146.859,44.5179,0.0,0.0,0.2330000000000041,0.0
90.75,0.0,147.091,44.5154,0.0,0.0,0.23199999999999932,0.0
90.75,0.0,147.324,44.5143,0.0,0.0,0.2330000000000041,0.0
91.0,0.0,147.557,44.5195,0.0,0.0,0.23299999999997567,0.0
91.5,0.0,147.789,44.5209,0.0,0.0,0.23199999999999932,0.0
92.0,0.0,148.022,44.5173,0.0,0.0,0.2330000000000041,0.0
